FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
228627|Middletown Rancheria|Civil|2255R|D2|||06|CA|1|033|Lake|38.7286756|-122.6258467|01/19/1981|02/01/2019
228775|Millville|Populated Place|47724|U5|2181|062181089|06|CA|1|089|Shasta|40.5493195|-122.1752786|01/19/1981|02/01/2016
228804|Minkler|Populated Place|47822|U5|||06|CA|1|019|Fresno|36.7238391|-119.458183|01/19/1981|03/26/2017
228811|Minturn|Populated Place|47864|U6|||06|CA|1|039|Madera|37.1396661|-120.274343|01/19/1981|
228824|Miranda|Populated Place|48060||2195|062195023|06|CA|1|023|Humboldt|40.2345864|-123.8236457|01/19/1981|12/06/2013
228844|Mission San Jose District|Populated Place|48218|U6|||06|CA|1|001|Alameda|37.5329919|-121.9202363|01/19/1981|
228901|Mokelumne Hill|Populated Place|48480|U5|2212|062212009|06|CA|1|009|Calaveras|38.3004709|-120.7063219|01/19/1981|11/05/2018
228955|Monte Toyon|Populated Place|48970|U6|||06|CA|1|087|Santa Cruz|36.9963391|-121.8960683|01/19/1981|
229196|Mountain Ranch|Populated Place|49628|U5|2294|062294009|06|CA|1|009|Calaveras|38.2282509|-120.5407599|01/19/1981|03/21/2008
229342|Murietta Farm|Locale|50016|U6|||06|CA|1|019|Fresno|36.6516172|-120.4593339|01/19/1981|07/24/2009
229365|Murray Park|Populated Place|50062|U4|||06|CA|1|041|Marin|37.9443689|-122.5535883|01/19/1981|
229396|Myers Flat|Populated Place|50146|U5|2328|062328023|06|CA|1|023|Humboldt|40.2662524|-123.8703146|01/19/1981|01/29/2011
229418|Nashua|Populated Place|50377|U6|||06|CA|1|053|Monterey|36.7413465|-121.765783|01/19/1981|
229429|Navarro|Populated Place|50664|U6|2343|062343045|06|CA|1|045|Mendocino|39.1518426|-123.5419555|01/19/1981|
229434|Navelencia|Populated Place|50678|U6|||06|CA|1|019|Fresno|36.6832831|-119.385679|01/19/1981|11/26/2018
229546|Nicolaus|Populated Place|51336|U5|2405|062405101|06|CA|1|101|Sutter|38.9032305|-121.5777385|01/19/1981|05/31/2016
229899|Oakville|Populated Place|53196|U5|2492|062492055|06|CA|1|055|Napa|38.4368549|-122.4022007|01/19/1981|01/29/2011
