TWAY_ID,TWAY_ID2,COUNTY,LATITUDE,LONGITUD,DATE,DAY_WEEK,HOUR,LGT_COND,WEATHER,WRK_ZONE,FATALS,PEDS,MAN_COLL,FUNC_SYS,TYP_INT
SR-4,NO SECOND STREET,SAN FRANCISCO,33.51107778,-81.18099444,2016-05-08,SUNDAY,4,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
I-26,NO SECOND STREET,SAN FRANCISCO,33.40679167,-80.65831111,2016-05-11,WEDNESDAY,2,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,INTERSTATE,NOT AN INTERSECTION
I-95,NO SECOND STREET,SAN FRANCISCO,33.40207222,-80.509375,2016-05-19,THURSDAY,15,DAY,RAIN,0,1,0,NOT APPLICABLE,INTERSTATE,NOT AN INTERSECTION
SR-541,NO SECOND STREET,MARIN,33.96685556,-79.82704722,2016-05-21,SATURDAY,21,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
US-378,NO SECOND STREET,MARIN,33.90705556,-79.71189722,2016-05-26,THURSDAY,18,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
US-52,NO SECOND STREET,MARIN,34.13586944,-79.77148889,2016-02-13,SATURDAY,3,NIGHT,CLEAR,0,1,0,REAR END,ARTERY,NOT AN INTERSECTION
SR-63,NO SECOND STREET,SAN FRANCISCO,33.32338611,-80.93109722,2016-06-04,SATURDAY,4,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
US-321,CR-CRIM RD,SAN FRANCISCO,33.67210833,-81.11311389,2016-06-08,WEDNESDAY,17,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,T
SR-29,US-76,MARIN,34.18935278,-79.80443611,2016-03-09,WEDNESDAY,19,NIGHT,CLEAR,0,1,0,ANGLED,ARTERY,NOT AN INTERSECTION
US-52,NO SECOND STREET,MARIN,34.07770833,-79.7613,2016-06-09,THURSDAY,23,NIGHT,CLEAR,0,1,0,ANGLED,ARTERY,NOT AN INTERSECTION
SR-107,CR-BUCKSHOT RD,MARIN,34.1459,-79.85123889,2016-06-10,FRIDAY,19,DAY,CLEAR,0,1,0,ANGLED,ARTERY,T
